Haplotype,DPA,Replicate,fq.gz_name,Reads,Reads_aligned,%_Reads_Aligned,multiple_loci ,%_multiple_loci 
Opata,4,1,A2_2,27033972,25060333,92.7,1181208,4.37
Opata,4,2,A3,27330068,25381085,92.87,1040705,3.81
Opata,4,3,A4_1,30377609,26238055,86.37,1399668,4.61
Opata,8,1,E19_1,23791449,20377034,85.65,1681643,7.07
Opata,8,2,E1_1,31328641,26819094,85.61,2200310,7.02
Opata,8,3,E20_1,22465315,19259728,85.73,1632460,7.27
W7984,4,1,B1,37031491,34484482,93.12,1397576,3.77
W7984,4,2,B2,22203928,20658099,93.04,877189,3.95
W7984,4,3,B8_1,22744898,19770859,86.92,1179965,5.19
W7984,8,1,F22_1,22018190,19178976,87.11,1373256,6.24
W7984,8,2,F24_0,21866853,19259649,88.08,1261160,5.77
W7984,8,3,F4_1,25903888,23060691,89.02,1474799,5.69
Recombinant I,4,1,C10_1,26537336,22267553,83.91,1310101,4.94
Recombinant I,4,2,C1 ,24077173,22365771,92.89,1030449,4.28
Recombinant I,4,3,C4_1,25034525,23268365,92.95,1023463,4.09
Recombinant I,8,1,G25_0,25749309,22743926,88.33,1482056,5.76
Recombinant I,8,2,G27_1,27125840,24455701,90.16,1413925,5.21
Recombinant I,8,3,G2,25883147,23352657,90.22,1353296,5.23
Recombinant II,4,1,D16_2,24813676,22684095,91.42,1113355,4.49
Recombinant II,4,2,D1 ,23630104,22000094,93.1,894878,3.79
Recombinant II,4,3,D3,27461318,25454052,92.69,1080106,3.93
Recombinant II,8,1,H31_1,24052078,21045044,87.5,1435513,5.97
Recombinant II,8,2,H32_2,29541424,25475935,86.24,1803456,6.1
Recombinant II,8,3,H4_4,23081425,20796671,90.1,1195175,5.18
,,,Total,621083657,555457949,,31835712,
,,,Mean,25878486,23144081,89.41,1326488,5.16
,,,Std. error,721481,682340,0.62,61821,0.22
